title,abstract,author,issued,type,type-name,link
ArgGen: Prompting text generation models for document-level event-argument aggregation,"Most of the existing discourse-level Information Extraction tasks have been modeled to be extractive in nature. However, we argue that extracting information from larger bodies of discourse-like documents requires more natural language understanding and reasoning capabilities. In our work, we propose the novel task of document-level event argument aggregation which generates consolidated event-arguments at a document-level with minimal loss of information. More specifically, we focus on generating precise document-level information frames in a multilingual setting using prompt-based methods. In this paper, we show the effectiveness of u prompt-based text generation approach to generate document-level argument spans in a low-resource and zero-shot setting. We also release the first of its kind multilingual event argument aggregation dataset that can be leveraged in other related multilingual text generation tasks as well: https://github. com/DebanjanaKar/ArgGen.","Debanjana Kar, Sudeshna Sarkar, Pawan Goyal",2022/11,Conference,Findings of the Association for Computational Linguistics: AACL-IJCNLP 2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:Br1UauaknNIC
Does Meta-learning Help mBERT for Few-shot Question Generation in a Cross-lingual Transfer Setting for Indic Languages?,"Few-shot Question Generation (QG) is an important and challenging problem in the Natural Language Generation (NLG) domain. Multilingual BERT (mBERT) has been successfully used in various Natural Language Understanding (NLU) applications. However, the question of how to utilize mBERT for few-shot QG, possibly with cross-lingual transfer, remains. In this paper, we try to explore how mBERT performs in few-shot QG (cross-lingual transfer) and also whether applying meta-learning on mBERT further improves the results. In our setting, we consider mBERT as the base model and fine-tune it using a seq-to-seq language modeling framework in a cross-lingual setting. Further, we apply the model agnostic meta-learning approach to our base model. We evaluate our model for two low-resource Indian languages, Bengali and Telugu, using the TyDi QA dataset. The proposed approach consistently improves the performance of the base model in few-shot settings and even works better than some heavily parameterized models. Human evaluation also confirms the effectiveness of our approach.","Aniruddha Roy, Rupak Kumar Thakur, Isha Sharma, Ashim Gupta, Amrith Krishna, Sudeshna Sarkar, Pawan Goyal",2022/10,Conference,Proceedings of the 29th International Conference on Computational Linguistics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:CB2v5VPnA5kC
Systematic Investigation of Strategies Tailored for Low-Resource Settings for Low-Resource Dependency Parsing,"In this work, we focus on low-resource dependency parsing for multiple languages. Several strategies are tailored to enhance performance in low-resource scenarios. While these are well-known to the community, it is not trivial to select the best-performing combination of these strategies for a low-resource language that we are interested in, and not much attention has been given to measuring the efficacy of these strategies. We experiment with 5 low-resource strategies for our ensembled approach on 7 Universal Dependency (UD) low-resource languages. Our exhaustive experimentation on these languages supports the effective improvements for languages not covered in pretrained models. We show a successful application of the ensembled system on a truly low-resource language Sanskrit. The code and data are available at: https://github.com/Jivnesh/SanDP","Jivnesh Sandhan, Laxmidhar Behera, Pawan Goyal",2022/1/27,Journal,arXiv preprint arXiv:2201.11374,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:jFemdcug13IC
ArgFuse: A Weakly-Supervised Framework for Document-Level Event Argument Aggregation,"Most of the existing information extraction frameworks (Wadden et al., 2019; Veysehet al., 2020) focus on sentence-level tasks and are hardly able to capture the consolidated information from a given document. In our endeavour to generate precise document-level information frames from lengthy textual records, we introduce the task of Information Aggregation or Argument Aggregation. More specifically, our aim is to filter irrelevant and redundant argument mentions that were extracted at a sentence level and render a document level information frame. Majority of the existing works have been observed to resolve related tasks of document-level event argument extraction (Yang et al., 2018a; Zheng et al., 2019a) and salient entity identification (Jain et al.,2020) using supervised techniques. To remove dependency from large amounts of labelled data, we explore the task of information aggregation using weakly-supervised techniques. In particular, we present an extractive algorithm with multiple sieves which adopts active learning strategies to work efficiently in low-resource settings. For this task, we have annotated our own test dataset comprising of 131 document information frames and have released the code and dataset to further research prospects in this new domain. To the best of our knowledge, we are the first to establish baseline results for this task in English. Our data and code are publicly available at https://github.com/DebanjanaKar/ArgFuse.","Debanjana Kar, Sudeshna Sarkar, Pawan Goyal",2021/6/21,Journal,arXiv preprint arXiv:2106.10862,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:Ak0FvsSvgGUC
CSSL: Contrastive Self-Supervised Learning for Dependency Parsing on Relatively Free Word Ordered and Morphologically Rich Low Resource Languages,"Neural dependency parsing has achieved remarkable performance for low resource morphologically rich languages. It has also been well-studied that morphologically rich languages exhibit relatively free word order. This prompts a fundamental investigation: Is there a way to enhance dependency parsing performance, making the model robust to word order variations utilizing the relatively free word order nature of morphologically rich languages? In this work, we examine the robustness of graph-based parsing architectures on 7 relatively free word order languages. We focus on scrutinizing essential modifications such as data augmentation and the removal of position encoding required to adapt these architectures accordingly. To this end, we propose a contrastive self-supervised learning method to make the model robust to word order variations. Furthermore, our proposed modification demonstrates a substantial average gain of 3.03/2.95 points in 7 relatively free word order languages, as measured by the UAS/LAS Score metric when compared to the best performing baseline.","Pretam Ray, Jivnesh Sandhan, Amrith Krishna, Pawan Goyal",2024/10/9,Journal,arXiv preprint arXiv:2410.06944,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:DkZNVXde3BIC
Biomedical Relation Classification by single and multiple source domain adaptation,"Relation classification is crucial for inferring semantic relatedness between entities in a piece of text. These systems can be trained given labelled data. However, relation classification is very domain-specific and it takes a lot of effort to label data for a new domain. In this paper, we explore domain adaptation techniques for this task. While past works have focused on single source domain adaptation for bio-medical relation classification, we classify relations in an unlabeled target domain by transferring useful knowledge from one or more related source domains. Our experiments with the model have shown to improve state-of-the-art F1 score on 3 benchmark biomedical corpora for single domain and on 2 out of 3 for multi-domain scenarios. When used with contextualized embeddings, there is further boost in performance outperforming neural-network based domain adaptation baselines for both the cases.","Sinchani Chakraborty, Sudeshna Sarkar, Pawan Goyal, Mahanandeeshwar Gattu",2019/11,Conference,Proceedings of the Tenth International Workshop on Health Text Mining and Information Analysis (LOUHI 2019),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:oNZyr7d5Mn4C
Challenges of coreference resolution in biomedical text and experimenting with the biological entities,"The evaluation of document processing activities such as information retrieval can be improved with the help of coreference resolution. However, the resolution process incurs challenges in biomedical domain unlike the same in general English domain. In this paper, we investigate the challenges, reporting some domain-specific solutions to deal with the challenges. Moreover, we have provided some insight upon how an ensemble of rule-based and machine learning based approach can be applied on the existing biomedical baseline coreference resolver to show improved results on the publicly available BioNLP 2011 ST dataset for protein coreference resolution, beating the state-of-the-art baseline system BioSCores by 0.6% F-Score. We also performed an analysis of the important features to obtain good performance.","Ishani Mondal, Sudeshna Sarkar, Pawan Goyal",2018,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:epqYDVWIO7EC
A distributed platform for Sanskrit processing,"Sanskrit, the classical language of India, presents specific challenges for computational linguistics: exact phonetic transcription in writing that obscures word boundaries, rich morphology and an enormous corpus, among others. Recent international cooperation has developed innovative solutions to these problems and significant resources for linguistic research. Solutions include efficient segmenting and tagging algorithms and dependency parsers based on constraint programming. The integration of lexical resources, text archives and linguistic software is achieved by distributed interoperable Web services. Resources include a morphological tagger and tagged corpus.","Pawan Goyal, Gérard Huet, Amba Kulkarni, Peter Scharf, Ralph Bunker",2012/12,Conference,Proceedings of COLING 2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:tOudhMTPpwUC
Design and analysis of a lean interface for sanskrit corpus annotation,"We describe an innovative computer interface designed to assist annotators in the efficient selection of segmentation solutions for proper tagging of Sanskrit corpora. The proposed solution uses a compact representation of the shared forest of all segmentations. The main idea is to represent the union of all segmentations, abstracting from the sandhi rules used, and aligning with the input sentence. We show that this representation provides an exponential saving, in both space and time.","Pawan Goyal, Gérard Huet",2016/10/18,Journal,Journal of Language Modelling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:Y5dfb0dijaUC
Analysis of Sanskrit text: Parsing and semantic relations,"In this paper, we are presenting our work towards building a dependency parser for Sanskrit language that uses deterministic finite automata (DFA) for morphological analysis and’utsarga apavaada’approach for relation analysis. A computational grammar based on the framework of Panini is being developed. A linguistic generalization for Verbal and Nominal database has been made and declensions are given the form of DFA. Verbal database for all the class of verbs have been completed for this part. Given a Sanskrit text, the parser identifies the root words and gives the dependency relations based on semantic constraints. The proposed Sanskrit parser is able to create semantic nets for many classes of Sanskrit paragraphs (a Ú). The parser is taking care of both external and internal sandhi in the Sanskrit words.","Pawan Goyal, Vipul Arora, Laxmidhar Behera",2007/10/29,Book,International Sanskrit Computational Linguistics Symposium,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:2osOgNQ5qMEC
Completeness analysis of a Sanskrit reader,We analyse in this paper differences of linguistic treatment of Sanskrit in the Sanskrit Heritage platform1 and in the Paninian grammatical tradition.,"Pawan Goyal, Gérard Huet",2013,Journal,"Proceedings, 5th International Symposium on Sanskrit Computational Linguistics. DK Printworld (P) Ltd",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:u-x6o8ySG0sC
Translation divergence in English-Sanskrit-Hindi language pairs,"The development of a machine translation system needs that we identify the patterns of divergence between two languages. Though a number of MT developers have given attention to this problem, it is difficult to derive general strategies which can be used for any language pair. Therefore, further exploration is always needed to identify different sources of translation divergence in different pairs of translation languages. In this paper, we discuss translation pattern between English-Sanskrit and Hindi-Sanskrit of various constructions to identify the divergence in English-Sanskrit-Hindi language pairs. This will enable us to come up with strategies to handle these situations and coming up with correct translation. The base has been the classification of translation divergence presented by Dorr [Dorr, 1994].","Pawan Goyal, R Mahesh K Sinha",2009/1/15,Book,International Sanskrit Computational Linguistics Symposium,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:d1gkVwhDpl0C
Design of a lean interface for Sanskrit corpus annotation,"We describe an innovative computer interface designed for assisting annotators in the efficient selection of segmentation solutions for proper tagging of Sanskrit corpus. The proposed solution uses a compact representation of the shared forest of all segmentations. The main idea is to represent the union of all segmentations, abstracting on the sandhi rules used, and aligning on the input sentence. We show that this representation allows an exponential saving, both in space and time. This interface has been implemented, and has been applied to the annotation of the Sanskrit Library corpus.","Gérard Huet, Pawan Goyal",2013,Journal,Proceedings of ICON,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:YsMSGLbcyi4C
Meter identification of sanskrit verse,"A significant portion of Sanskrit literature composed over more than three millennia beginning with the Vedic hymns is composed in metrical verse. Discussion of particular types of Sanskrit meter appears even in the oldest extant Vedic text, the Rgveda, and the science of meter documenting various poetic meters is mentioned in the oldest lists of disciplines. Based on an analysis of the standard classical works of the science of poetics, Velankar (1949) compiled an exhaustive list of more than six hundred different meters which was included by Apte, Gode, and Karve (1957–1959) as an appendix. The present paper presents Web-based software that analyzes Sanskrit metrical patterns and identifies meters. While using a precise phonetic encoding it yet allows numerous input methods and accepts either accented or unaccented text. The software has been successfully tested on a database of 1031 verses in the Pañcakhyanaka, including 291 verses in 23 different types of meters besides Anus. t. ubh. The software should be widely useful to Sanskrit students and scholars, especially those who focus on poetics.","Keshav S Melnad, Pawan Goyal, Peter Scharf",2013/4/9,Journal,"The Sanskrit Library, USA",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:p2g8aNsByqUC
A study towards design of an English to Sanskrit machine translation system,"We are experimenting to examine how AnglaBharati system designed to translate English to Indian languages could be adapted for translation to Sanskrit. The main contribution of our work is demonstration of machine translation of English to Sanskrit for simple sentences based on PLIL generated by AnglaBharati and Aṣṭādhyāyī rules. Presently our translation system caters to affirmative, negative, interrogative, imperative, active and passive voice sentences. In our study, we have selected a set of nouns and verbs that represent different semantic categories besides a few adverbs and adjectives. We anticipate using a number of Sanskrit resources on Aṣṭādhyāyī and morphological synthesis [2].","Pawan Goyal, R Mahesh K Sinha",2007/10/29,Book,International Sanskrit Computational Linguistics Symposium,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:u5HHmVD_uO8C
Converting Phrase Structures to Dependency Structures in Sanskrit,"Two annotations schemes for presenting the parsed structures are prevalent viz. the constituency structure and the dependency structure. While the constituency trees mark the relations due to positions, the dependency relations mark the semantic dependencies. Free word order languages like Sanskrit pose more problems for constituency parses since the elements within a phrase are dislocated. In this work, we show how the enriched constituency tree with the information of displacement can help construct the unlabelled dependency tree automatically.","Pawan Goyal, Amba Kulkarni",2014,Conference,Coling 2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:0EnyYjriUFMC
"Voice, preverb, and transitivity restrictions in sanskrit verb use","In the third pada of the As. t. adhy ayı Pan. ini states rules that account for the occurrence of verbs in the active, middle, and passive voices under semantic and coocurrence conditions. These rules include specific conditions that specify not only which verbs occur in the active or middle voice but also in which meanings they do so, with which preverbs they do so, and whether they do so when transitive or intransitive. Some of the information in these rules is included in comprehensive bilingual lexical and grammatical reference sources such as Böhtlingk and Roth (1855–1875), and some reference sources such as Oberlies (2003) provide complementary information for specific genres and periods. Yet common reference works such as Whitney (1885, 1945) do not include these specific conditions, and the information has yet to be used in any systematic way to analyze Sanskrit syntax. The authors collect and …","Peter Scharf, Pawan Goyal, Anuja Ajotikar, Tanuja Ajotikar",2015/2/16,Journal,"Sanskrit Syntax, Selected papers presented at the seminar on sanskrit syntax and discouse structures",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:u9iWguZQMMsC
Proceedings of the 6th International Sanskrit Computational Linguistics Symposium,"Welcome to the 6th edition of the International Sanskrit Computational Linguistics Symposium (6th ISCLS) at IIT Kharagpur, West Bengal, India. The aim of ISCLS is to bring together researchers interested in any aspects of Sanskrit Computational Linguistics. Full papers were invited on original and unpublished research on various aspects of Computational Linguistics and Digital Humanities related to Sanskrit (Classical and Vedic), Prakrit, Pali, Buddhist Hybrid Sanskrit, etc. 13 contributions were accepted, and the final versions, after incorporating the reviewers’ comments constitute the proceedings. We would like to thank the Program Committee for the 6th ISCLS for their reviewing efforts:",Pawan Goyal,2019/10,Conference,Proceedings of the 6th International Sanskrit Computational Linguistics Symposium,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:kz9GbA2Ns4gC
A graph-based framework for structured prediction tasks in Sanskrit,"We propose a framework using energy-based models for multiple structured prediction tasks in Sanskrit. Ours is an arc-factored model, similar to the graph-based parsing approaches, and we consider the tasks of word segmentation, morphological parsing, dependency parsing, syntactic linearization, and prosodification, a “prosody-level” task we introduce in this work. Ours is a search-based structured prediction framework, which expects a graph as input, where relevant linguistic information is encoded in the nodes, and the edges are then used to indicate the association between these nodes. Typically, the state-of-the-art models for morphosyntactic tasks in morphologically rich languages still rely on hand-crafted features for their performance. But here, we automate the learning of the feature function. The feature function so learned, along with the search space we construct, encode relevant linguistic information for the tasks we consider. This enables us to substantially reduce the training data requirements to as low as 10%, as compared to the data requirements for the neural state-of-the-art models. Our experiments in Czech and Sanskrit show the language-agnostic nature of the framework, where we train highly competitive models for both the languages. Moreover, our framework enables us to incorporate language-specific constraints to prune the search space and to filter the candidates during inference. We obtain significant improvements in morphosyntactic tasks for Sanskrit by incorporating language-specific constraints into the model. In all the tasks we discuss for Sanskrit, we either achieve state-of-the-art results or ours is the only data-driven solution for those tasks.","Amrith Krishna, Bishal Santra, Ashim Gupta, Pavankumar Satuluri, Pawan Goyal",2021/2/1,Journal,Computational Linguistics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:yMeIxYmEMEAC
